,,,,,,Mon,,,Tue,,,Wed,,,Thu,,,Fri,,,Sat,,,Sun
title,day,max_views,,,title,max_views,,title,max_views,,title,max_views,,title,max_views,,title,max_views,,title,max_views,,title,max_views
크리스티아누_호날두,Fri,1200,,,총합계,7679,,총합계,10136,,총합계,6701,,총합계,6158,,총합계,12959,,총합계,2382,,총합계,2268
알레산드로_델_피에로,Fri,746,,,양정아,354,,강미정,437,,드레이크_(가수),340,,문지연,348,,크리스티아누_호날두,1200,,화성시_을,231,,X맨,110
FC_바르셀로나,Fri,520,,,리아_(대한민국의_가수),184,,박상돈,321,,조두순,201,,조국_(법학자),112,,알레산드로_델_피에로,746,,HTML,95,,남일우,80
카림_벤제마,Fri,503,,,김주하_(배구_선수),170,,저우샤오한,222,,미노이,181,,정봉주,108,,FC_바르셀로나,520,,트와이스,80,,조국신당,61
강미정,Tue,437,,,강선영_(군인),132,,유영하,217,,브루노_마스,179,,캄푸스_마르티우스,108,,카림_벤제마,503,,종려주일,77,,위성락,59
홍콩,Fri,401,,,딥_러닝,130,,빅플래닛메이드엔터,213,,2026년_FIFA_월드컵_아시아_지역_예선,134,,주기율표,97,,홍콩,401,,에펨코리아,61,,김영주_(1955년),57
FC_바이에른_뮌헨,Fri,370,,,화성시_을,130,,담관암,197,,아리아나_그란데,125,,대한민국,93,,FC_바이에른_뮌헨,370,,도태우,59,,"전우크라이나_연합_""자유""",54
양정아,Mon,354,,,김영주_(1955년),102,,상봉동_(서울),194,,HTML,111,,김영옥_(배우),92,,가까운_은하_목록,328,,이우리,52,,로마_숫자,45
문지연,Thu,348,,,다니엘_튜더,96,,강남구_병,172,,에펨코리아,105,,조_바이든,83,,스페인,328,,조국혁신당,52,,쿠팡,45
드레이크_(가수),Wed,340,,,정봉주,89,,바르슈_프나르_작전,158,,김영옥_(배우),92,,조두순,81,,이탈리아,322,,한국교육방송공사,50,,한국교육방송공사,45
스페인,Fri,328,,,ASCII,88,,모질라_파이어폭스,139,,한주현_(배우),90,,존_네이피어,80,,첼시_FC,304,,경부고속도로,48,,조국혁신당,44
가까운_은하_목록,Fri,328,,,주기율표,88,,달서구_갑,138,,윌리엄_볼드윈,89,,HTML,75,,국제_여성의_날,299,,파묘,46,,서유리,42
이탈리아,Fri,322,,,강감찬,86,,이혜훈,128,,젠슨_황,85,,ASCII,74,,토리야마_아키라,235,,기아_K5,45,,지구_온난화,41
박상돈,Tue,321,,,남희석,76,,정준영,118,,에바_가드너,82,,정은채,74,,미국_육군,234,,우의정,45,,에펨코리아,40
첼시_FC,Fri,304,,,조국_(법학자),75,,지구_온난화,113,,주기율표,80,,인공지능,72,,올림피아코스_FC,188,,아일릿,44,,월드와이드웹,38
국제_여성의_날,Fri,299,,,조두순,73,,우고_차베스,99,,셀레나_고메즈,78,,2022년_FIFA_월드컵,65,,폴리스,168,,이원욱,43,,정승제,38
토리야마_아키라,Fri,235,,,카카오톡,69,,조두순,96,,최성은,73,,개,64,,박지성,144,,경기도,39,,주기율표,38
미국_육군,Fri,234,,,전혜숙,66,,박덕흠,87,,윤종용,71,,구글의_이스터_에그_목록,62,,조국_(법학자),123,,주기율표,39,,경기과학고등학교,37
화성시_을,Sat,231,,,김부겸,65,,주기율표,84,,저스틴_비버,69,,국가별_국가_코드_목록,58,,키프로스,116,,TVING,38,,황정은,37
저우샤오한,Tue,222,,,전공의,65,,조국_(법학자),83,,5·18_광주_민주화_운동,68,,로마_숫자,53,,폴리스_(밴드),110,,요바이,38,,강감찬,35
유영하,Tue,217,,,에펨코리아,64,,아일릿,79,,홍영표,67,,박은정_(검사),53,,Ray_of_Light,107,,김영주_(1955년),37,,조국_(법학자),35
빅플래닛메이드엔터,Tue,213,,,강선영,62,,ASCII,75,,ASCII,65,,오재원,53,,2009년_대한민국의_시국선언,94,,원더풀_월드,37,,치지직,35
조두순,Wed,201,,,로마_숫자,61,,편상욱,74,,정봉주,64,,대한민국_제21대_국회의원_선거,52,,정서주,90,,조국_(법학자),36,,피라미드_게임_(드라마),35
담관암,Tue,197,,,대한민국_제22대_국회의원_선거,56,,구글의_이스터_에그_목록,73,,로마_숫자,63,,에펨코리아,52,,MGTOW,87,,화성시_병,36,,미녀와_순정남,34
상봉동_(서울),Tue,194,,,오컬트,56,,국가별_국가_코드_목록,68,,새로운미래,63,,조국혁신당,52,,노르웨이,86,,대한민국_제22대_국회의원_선거,34,,성_파트리치오_축일,34
올림피아코스_FC,Fri,188,,,국가별_국가_코드_목록,55,,윤진이,68,,카카오톡,63,,원주율,51,,주요_우울_장애,84,,스탈린의_편지,34,,이정후,34
리아_(대한민국의_가수),Mon,184,,,대한민국_제21대_국회의원_선거,55,,강유정_(평론가),67,,조국_(법학자),62,,화이트데이,51,,로빈_판_페르시,82,,쿠팡,34,,ChatGPT,33
미노이,Wed,181,,,조국혁신당,55,,말레이시아,66,,이낙연,61,,대한민국의_대통령_목록,50,,3·1절,81,,푸아비,34,,TVING,32
브루노_마스,Wed,179,,,대한민국의_국가,54,,에펨코리아,66,,조국혁신당,61,,아일릿,48,,SK브로드밴드,78,,구글_번역,33,,조해진_(1963년),32
강남구_병,Tue,172,,,황대헌,54,,김영옥_(배우),65,,국가별_국가_코드_목록,58,,한동훈_(법조인),47,,조국혁신당,75,,조현문,33,,최희섭,32
김주하_(배구_선수),Mon,170,,,대한민국,53,,양정아,65,,한동훈_(법조인),58,,ChatGPT,46,,제임스_맥어보이,74,,화성시_갑,33,,밀도,30
폴리스,Fri,168,,,오지영_(배구_선수),52,,2018년_동계_올림픽,64,,ChatGPT,55,,다음,46,,주기율표,74,,에르메스,32,,원더풀_월드,30
바르슈_프나르_작전,Tue,158,,,쿠팡,52,,2026년_FIFA_월드컵_아시아_지역_예선,64,,윤태영_(배우),54,,대한민국_제22대_국회의원_선거,46,,2012년_중국의_반일_시위,73,,정원철_(음악가),32,,유효숫자,30
박지성,Fri,144,,,다음,50,,강남구_갑,64,,이동순,52,,쿠팡,46,,ASCII,73,,류준열,31,,대한민국_제22대_국회의원_선거,29
모질라_파이어폭스,Tue,139,,,박찬홍,50,,조국혁신당,64,,대한민국_제22대_국회의원_선거,51,,한국교육방송공사,46,,용인시_정,72,,5·18_광주_민주화_운동,30,,부활절,28
달서구_갑,Tue,138,,,피라미드_게임_(드라마),50,,대한민국_제22대_국회의원_선거,63,,대한민국의_국민연금,51,,TCP/UDP의_포트_목록,45,,후배위,72,,토리야마_아키라,29,,스테아르산,28
2026년_FIFA_월드컵_아시아_지역_예선,Wed,134,,,환생경제,50,,리아_(대한민국의_가수),61,,인공지능,51,,대한민국의_행정_구역,45,,로드_하우스_(2024년_영화),69,,함진성,29,,전종서,28
강선영_(군인),Mon,132,,,구글_번역,49,,유경준,61,,대한민국,50,,백두산,45,,IPTV,68,,대한민국,28,,구글,27
화성시_을,Mon,130,,,손범규_(아나운서),49,,김동훈_(배우),59,,쿠팡,50,,장재현,45,,권도형,68,,로마_숫자,28,,김보협,27
딥_러닝,Mon,130,,,인공지능,48,,구글,58,,한국교육방송공사,50,,파이썬,44,,장윤현,68,,방사선,28,,김새론,27
이혜훈,Tue,128,,,전국노래자랑,48,,이낙훈,57,,국제_행복의_날,49,,카카오톡,43,,오타니_쇼헤이,66,,비트토렌트,28,,다음,27
아리아나_그란데,Wed,125,,,국제전화_국가_번호,46,,다음,56,,아일릿,49,,하남시_(선거구),43,,한국교육방송공사,65,,유루캠△,28,,대한민국,27
조국_(법학자),Fri,123,,,김영주,46,,인공지능,56,,AOMG,48,,2026년_FIFA_월드컵_아시아_지역_예선,42,,8월_봉기,62,,윤병환(청양),28,,수학_기호,27
정준영,Tue,118,,,지구_온난화,45,,ChatGPT,55,,구글_번역,48,,그림판,41,,드래곤볼,61,,저비용_항공사,28,,아프리카TV,27
키프로스,Fri,116,,,류준열,43,,강남구_을,54,,대한민국_제21대_국회의원_선거,48,,대한민국의_국민연금,40,,김영삼,60,,7인의_부활,27,,현미경,27
지구_온난화,Tue,113,,,황상무,43,,홍석준_(1966년),54,,조두순_사건,48,,미노이,40,,지구_온난화,60,,ChatGPT,27,,신장식,26
조국_(법학자),Thu,112,,,2026년_FIFA_월드컵_아시아_지역_예선,42,,로마_숫자,53,,춘분,48,,스마트폰,40,,우로보로스,59,,구광모,27,,종려주일,26
HTML,Wed,111,,,귀주_대첩,42,,지능형_에이전트,53,,다음,47,,젠슨_황,40,,올랭피크_리옹,58,,로드_하우스_(2024년_영화),27,,DNA,25
X맨,Sun,110,,,비례대표제,42,,대한민국_제21대_국회의원_선거,51,,안병용,47,,공학,39,,박은정_(검사),56,,2024년_대한민국_의료대란,25,,구글_번역,25
폴리스_(밴드),Fri,110,,,이재정_(1974년),42,,대한민국의_국민연금,51,,도태우,46,,딥_러닝,38,,아일릿,56,,기아_K3,25,,로드_하우스_(2024년_영화),25
정봉주,Thu,108,,,ChatGPT,41,,대한민국,50,,양정아,46,,가운뎃점,37,,카카오톡,56,,김덕진,25,,신_안동_김씨,25
캄푸스_마르티우스,Thu,108,,,KBS원주방송국,41,,인도유럽어족,50,,오픈오피스,46,,구글,37,,딥_러닝,55,,김영선_(1960년),25,,KBO_리그_연도별_팀_순위,24
Ray_of_Light,Fri,107,,,구글의_이스터_에그_목록,41,,쿠팡,50,,2026년_FIFA_월드컵_아시아_지역_2차_예선,45,,원소_목록,37,,셀린_송,55,,조석래,25,,기계_번역,24
에펨코리아,Wed,105,,,마이크_폼페이오,41,,용혜인,49,,제곱미터,44,,임성기,37,,에펨코리아,54,,구글,24,,대한민국_제21대_국회의원_선거,24
김영주_(1955년),Mon,102,,,제곱미터,41,,카카오톡,49,,대한민국의_행정_구역,43,,최성은,37,,국제_남성의_날,53,,윤덕영,24,,대한민국의_국민연금,24
우고_차베스,Tue,99,,,한소희,41,,도태우,48,,이철규_(1957년),43,,피라미드_게임_(드라마),37,,노아의_방주,53,,카카오톡,24,,헥세인,24
주기율표,Thu,97,,,김신영,40,,정봉주,47,,지구_온난화,43,,김채원_(1997년),36,,스위스,52,,계양구_을,23,,5·18_광주_민주화_운동,23
조두순,Tue,96,,,대한민국_제21대_국회의원_선거_비례대표_배분_방법,40,,제4차_산업혁명,47,,광산구_을,42,,빅_데이터,36,,인공지능,52,,피라미드_게임_(드라마),23,,김용림,23
다니엘_튜더,Mon,96,,,엠마_스톤,40,,중구·성동구_을,47,,퀘벡_(도시),42,,제곱미터,36,,AS_로마,51,,화성시의_국회의원,23,,김채연_(2004년),23
HTML,Sat,95,,,갈릴레오_갈릴레이,39,,화성시_을,47,,구글,39,,존_돌턴,36,,로마_숫자,51,,스테아르산,22,,남성진,23
2009년_대한민국의_시국선언,Fri,94,,,세종특별자치시_갑,39,,김영주_(1955년),46,,정원철_(음악가),38,,CSS,35,,올랭피크_마르세유,51,,치지직,22,,더불어민주연합,23
대한민국,Thu,93,,,정보과학,39,,분화구의_두_사람,46,,정준영,38,,대한민국의_정보_보안_사고_목록,35,,국가별_국가_코드_목록,50,,한소희,22,,양정아,23
김영옥_(배우),Thu,92,,,한국교육방송공사,39,,하남시_(선거구),46,,2024년_미국_대통령_선거,37,,도태우,35,,정봉주,50,,,,,인공지능,23
